Id,name,author,relicTime,imageUrl,description,realUrl
60.92A,Textile Panels: Clavi (Decorative Bands) from a Tunic,,300–700 CE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.92A
60.92B,Textile Panel: Segmentum from at Tunic,,300–700 CE,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.92B
60.95,Translucent Green Globular Bottle,,600–800 CE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.95
61.103,Lid from a Coffin in the Form of a Man,,400–300 BCE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.103
60.27,Satire on the Arts and Sciences,"Hendrik van Balen, I (Flemish, ca. 1574–1632)",17th century,,"Gift of Dr. and Mrs. Henry R. Hope, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.27
60.91,Panel with Bust of Woman,,300–600 CE,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.91
59.68,Cardinal Borromeo Kneeling Before an Altar,"Giovanni Battista Pasqualini (Italian, 1585–1631)",Ca. 1620-23,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.68
61.105,Pair of Double Doors,Unknown,Late 18th century,,"Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=61.105
59.67,Geometric Jug (Askos)  in the Form of a Duck,,750–600 BCE,,"Henry Radford Hope Fund, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.67
60.31,Scène Galante (Scène Galante),"Jean-Baptiste Pater (French, 1695–1736)",Early 18th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.31
59.7,Goddess,,1450–1200 BCE,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.7
59.86,Portrait of Jacques Lipchitz,"Amedeo Modigliani (Italian, 1884–1920)",Ca. 1915–1916,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.86
60.1,Head Fragment from a Statuette of Herakles,,100 BCE–200 CE,,"Burton Y. Berry Collection, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.1
60.10,Headdress for Ci Wara Society (Ci Wara Kun),,First half of the 20th century,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.10
60.14,Funerary Relief with the Bust of  Woman,,300–400 CE,,"Gift of Frederick Stafford, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.14
60.34,View of Venice,,1929,,"Gift of Mr. Irving S. Manheimer, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.34
60.35,Ruins on the Beach,"Solomon Wilson (American, 1896–1974)",Ca. 1935–1950,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=60.35
59.31,Pitcher (Askos) in the Form of a Bull,,1400–1100 BCE,,"Henry Radford Hope Fund, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.31
59.26,Shōtoku Taishi at the Age of Two Years,,13th century,,"William Lowe Bryan Memorial, Eskenazi Museum of Art, Indiana University",https://artmuseum.indiana.edu/collections-online/browse/object.php?number=59.26
