collectID,relationship,collectYear
574,藏品年代,中华人民共和国
575,藏品年代,中华人民共和国
576,藏品年代,中华人民共和国
577,藏品年代,中华人民共和国
578,藏品年代,中华人民共和国
579,藏品年代,中华人民共和国
580,藏品年代,中华人民共和国
581,藏品年代,中华人民共和国
582,藏品年代,中华人民共和国
583,藏品年代,中华人民共和国
584,藏品年代,中华人民共和国
585,藏品年代,中华人民共和国
586,藏品年代,中华人民共和国
587,藏品年代,中华人民共和国
588,藏品年代,中华人民共和国
589,藏品年代,中华人民共和国
590,藏品年代,中华人民共和国
591,藏品年代,中华人民共和国
592,藏品年代,中华人民共和国
593,藏品年代,中华人民共和国
594,藏品年代,中华人民共和国
595,藏品年代,中华人民共和国
596,藏品年代,中华人民共和国
597,藏品年代,中华人民共和国
598,藏品年代,中华人民共和国
599,藏品年代,中华人民共和国
600,藏品年代,中华人民共和国
601,藏品年代,中华人民共和国
602,藏品年代,中华人民共和国
603,藏品年代,中华人民共和国
604,藏品年代,中华人民共和国
605,藏品年代,中华人民共和国
606,藏品年代,中华人民共和国
607,藏品年代,中华人民共和国
608,藏品年代,中华人民共和国
609,藏品年代,中华人民共和国
610,藏品年代,中华人民共和国
611,藏品年代,中华人民共和国
612,藏品年代,中华人民共和国
613,藏品年代,中华人民共和国
614,藏品年代,中华人民共和国
615,藏品年代,中华人民共和国
616,藏品年代,中华人民共和国
617,藏品年代,中华人民共和国
618,藏品年代,中华人民共和国
619,藏品年代,中华人民共和国
620,藏品年代,中华人民共和国
621,藏品年代,中华人民共和国
622,藏品年代,中华人民共和国
623,藏品年代,中华人民共和国
624,藏品年代,中华人民共和国
625,藏品年代,中华人民共和国
626,藏品年代,中华人民共和国
627,藏品年代,中华人民共和国
628,藏品年代,中华人民共和国
629,藏品年代,中华人民共和国
630,藏品年代,中华人民共和国
631,藏品年代,中华人民共和国
632,藏品年代,中华人民共和国
633,藏品年代,中华人民共和国
634,藏品年代,中华人民共和国
635,藏品年代,中华人民共和国
636,藏品年代,中华人民共和国
637,藏品年代,中华人民共和国
638,藏品年代,中华人民共和国
639,藏品年代,中华人民共和国
640,藏品年代,中华人民共和国
641,藏品年代,中华人民共和国
642,藏品年代,中华人民共和国
643,藏品年代,中华人民共和国
644,藏品年代,中华人民共和国
645,藏品年代,中华人民共和国
646,藏品年代,中华人民共和国
647,藏品年代,中华人民共和国
648,藏品年代,中华人民共和国
649,藏品年代,中华人民共和国
650,藏品年代,中华人民共和国
651,藏品年代,中华人民共和国
652,藏品年代,中华人民共和国
653,藏品年代,中华人民共和国
654,藏品年代,中华人民共和国
655,藏品年代,中华人民共和国
656,藏品年代,中华人民共和国
657,藏品年代,中华人民共和国
658,藏品年代,中华人民共和国
659,藏品年代,中华人民共和国
660,藏品年代,中华人民共和国
661,藏品年代,中华人民共和国
662,藏品年代,中华人民共和国
663,藏品年代,中华人民共和国
664,藏品年代,中华人民共和国
665,藏品年代,中华人民共和国
666,藏品年代,中华人民共和国
667,藏品年代,中华人民共和国
668,藏品年代,中华人民共和国
669,藏品年代,中华人民共和国
670,藏品年代,中华人民共和国
671,藏品年代,中华人民共和国
672,藏品年代,中华人民共和国
673,藏品年代,中华人民共和国
674,藏品年代,中华人民共和国
675,藏品年代,中华人民共和国
676,藏品年代,中华人民共和国
677,藏品年代,中华人民共和国
678,藏品年代,中华人民共和国
679,藏品年代,中华人民共和国
680,藏品年代,中华人民共和国
681,藏品年代,中华人民共和国
682,藏品年代,中华人民共和国
683,藏品年代,中华人民共和国
684,藏品年代,中华人民共和国
685,藏品年代,中华人民共和国
686,藏品年代,中华人民共和国
687,藏品年代,中华人民共和国
688,藏品年代,中华人民共和国
689,藏品年代,中华人民共和国
690,藏品年代,中华人民共和国
691,藏品年代,中华人民共和国
692,藏品年代,中华人民共和国
693,藏品年代,中华人民共和国
694,藏品年代,中华人民共和国
695,藏品年代,中华人民共和国
696,藏品年代,中华人民共和国
697,藏品年代,中华人民共和国
698,藏品年代,中华人民共和国
699,藏品年代,中华人民共和国
700,藏品年代,中华人民共和国
701,藏品年代,中华人民共和国
702,藏品年代,中华人民共和国
703,藏品年代,中华人民共和国
704,藏品年代,中华人民共和国
705,藏品年代,中华人民共和国
706,藏品年代,中华人民共和国
707,藏品年代,中华人民共和国
708,藏品年代,中华人民共和国
709,藏品年代,中华人民共和国
710,藏品年代,中华人民共和国
711,藏品年代,中华人民共和国
